strategy,signal_date,entry_date,exit_date,z_window,z_threshold,signal_z_score,entry_price,exit_price,position_return,account_return,capital_before,capital_after,exit_reason,year
Fast 5D,2024-11-27,2024-11-29,2024-12-05,5,-1.5,-1.5306469380576253,27.32032847893628,28.819544094085693,0.05487546082417327,0.027437730412086636,11632.90406494005,11952.084550583544,fixed_hold,2024
Fast 5D,2024-12-10,2024-12-11,2024-12-17,5,-1.5,-1.5405051455113143,28.093825835278203,30.808801929473876,0.09663960010695316,0.04831980005347658,11952.084550583544,12529.606886289988,fixed_hold,2024
Fast 5D,2024-12-30,2024-12-31,2025-01-07,5,-1.5,-1.6223834069091514,28.044007692724232,30.91579436302185,0.10240286273501042,0.05120143136750521,12529.606886289988,13171.140693340185,fixed_hold,2024
Fast 5D,2025-05-21,2025-05-22,2025-05-29,5,-1.5,-1.668033702091364,16.92852358573872,17.123682540893554,0.011528409678871476,0.005764204839435738,13171.140693340185,13247.061846265626,fixed_hold,2025
Fast 5D,2025-07-22,2025-07-23,2025-07-29,5,-1.5,-1.6680922567884602,25.668191678003822,26.995127889633178,0.0516957418845545,0.02584787094227725,13247.061846265626,13589.470191232263,fixed_hold,2025
Fast 5D,2025-08-29,2025-09-02,2025-09-08,5,-1.5,-1.5900273428023304,24.097078995766488,27.04506188392639,0.12233776918263906,0.06116888459131953,13589.470191232263,14420.722925016928,fixed_hold,2025
Fast 5D,2025-10-10,2025-10-13,2025-10-17,5,-1.5,-1.61574596930885,38.26822954177856,40.24971091461182,0.05177875738071491,0.025889378690357456,14420.722925016928,14794.066481811411,fixed_hold,2025
Fast 5D,2025-10-22,2025-10-23,2025-10-29,5,-1.5,-1.5161545276138402,37.76772954177856,49.33062106704712,0.30615797310446546,0.15307898655223273,14794.066481811411,17058.727185833457,fixed_hold,2025
Fast 5D,2025-11-04,2025-11-05,2025-11-11,5,-1.5,-1.7076258163188653,43.26322122192382,41.76819137191772,-0.03455660045138953,-0.017278300225694765,17058.727185833457,16763.981376048407,fixed_hold,2025
Fast 5D,2025-12-12,2025-12-15,2025-12-19,5,-1.5,-1.739466622068761,43.15311061096191,41.67828121948242,-0.034176664685322766,-0.017088332342661383,16763.981376048407,16477.512890908307,fixed_hold,2025
Fast 5D,2026-06-05,2026-06-08,2026-06-12,5,-1.5,-1.5506494524841503,210.83061511230466,234.44531268310547,0.11200791478136041,0.056003957390680204,16477.512890908307,17400.318820755117,fixed_hold,2026
