z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate,compounded_return
5,-1.25,1,2023,16,0.001901794185570578,0.001960472382075029,0.5,0.019028230362323928
5,-1.25,1,2024,19,0.0034951678652461564,0.017693346744577676,0.631578947368421,0.05612345879598135
5,-1.25,1,2025,12,0.026956080386079762,0.020460886622349572,0.75,0.36166926371588826
5,-1.25,1,2026,2,-0.061222166178272974,-0.061222166178272974,0.5,-0.12267901140849125
5,-1.25,2,2021,18,0.007985807413159055,0.008333425520762328,0.5555555555555556,0.10646697263482441
5,-1.25,2,2022,6,0.038085809043246245,0.025950269330837994,0.6666666666666666,0.24100208915475552
5,-1.25,2,2023,16,0.014606393733648713,-0.007123619456801178,0.4375,0.18103099807091105
5,-1.25,2,2024,19,0.007752720845152988,0.002581541056415393,0.5263157894736842,0.10860781545111253
5,-1.25,2,2025,12,0.0022566774589758234,-0.005006191847462094,0.4166666666666667,0.007903117061676346
5,-1.25,2,2026,2,-0.08394165542637116,-0.08394165542637116,0.0,-0.16240387072460816
5,-1.25,3,2021,18,-0.010841946879247506,-0.02157708657391222,0.3888888888888889,-0.20997819687935382
5,-1.25,3,2022,6,0.03900005485032245,0.10324226176082496,0.6666666666666666,0.20711629135666332
5,-1.25,3,2023,16,0.03416162262594228,0.019510316523691285,0.6875,0.5678276314339599
5,-1.25,3,2024,19,0.020813596534180117,0.014074722837875031,0.5263157894736842,0.3792159313463721
5,-1.25,3,2025,12,0.014397464742452617,0.02609720992692577,0.5833333333333334,0.1312169745922258
5,-1.25,3,2026,2,-0.07228163586145314,-0.07228163586145314,0.0,-0.14448329181489927
5,-1.25,5,2021,18,0.023764952609822483,0.06329263955106779,0.6111111111111112,0.4266600598640591
5,-1.25,5,2022,6,-0.0077750136724714465,-0.007430236910786536,0.5,-0.11971632856044012
5,-1.25,5,2023,16,0.022902385374779725,-0.0020839600797228908,0.5,0.3357295957835893
5,-1.25,5,2024,19,0.03525708044280749,0.06490920459325333,0.631578947368421,0.6278305523368222
5,-1.25,5,2025,12,0.0395334194978604,0.04281581545746449,0.6666666666666666,0.5055582638265756
5,-1.25,5,2026,2,0.10581390725626583,0.10581390725626583,1.0,0.2227860317521484
10,-2.0,1,2021,3,0.003583597209744068,0.001803779849525844,0.6666666666666666,0.009205682557113848
10,-2.0,1,2023,3,-0.03452295061119178,-0.021802417288191767,0.0,-0.10056490992841038
10,-2.0,1,2024,2,-0.02275534621645814,-0.02275534621645814,0.5,-0.04563348054495886
10,-2.0,1,2025,1,-0.0035536953073486144,-0.0035536953073486144,0.0,-0.0035536953073486144
10,-2.0,2,2021,3,0.027205469395054638,0.0425167689334629,0.6666666666666666,0.07897360847795709
10,-2.0,2,2023,3,0.024017440343928387,0.013302034407716823,0.6666666666666666,0.07230331018053948
10,-2.0,2,2024,2,-0.07349464024043734,-0.07349464024043734,0.0,-0.14524083140188382
10,-2.0,2,2025,1,-0.004331582418497404,-0.004331582418497404,0.0,-0.004331582418497404
10,-2.0,3,2021,3,0.07426425007874098,0.06493304652368925,0.6666666666666666,0.22742155989498802
10,-2.0,3,2023,3,0.030293704099381518,0.03603333211371029,1.0,0.09339487018692738
10,-2.0,3,2024,2,-0.0021116463194849056,-0.0021116463194849056,0.5,-0.0047274030027680825
10,-2.0,3,2025,1,0.045451782807107044,0.045451782807107044,1.0,0.045451782807107044
10,-2.0,5,2021,3,0.10070317092672816,0.0798683938284086,1.0,0.32840597352508083
10,-2.0,5,2023,3,0.08422667739560515,0.05149253475111659,1.0,0.269319271282902
10,-2.0,5,2024,2,-0.01598974527404623,-0.01598974527404623,0.5,-0.06916429563167859
10,-2.0,5,2025,1,0.07384395742007932,0.07384395742007932,1.0,0.07384395742007932
10,-1.75,1,2021,6,-0.02585516119203764,-0.026026033558386064,0.3333333333333333,-0.14849408823767674
10,-1.75,1,2022,3,0.013676275499980258,0.012609755649245269,0.6666666666666666,0.04084210862210358
10,-1.75,1,2023,3,-0.03452295061119178,-0.021802417288191767,0.0,-0.10056490992841038
10,-1.75,1,2024,4,0.0028851066231476152,0.012673378196579654,0.75,0.00955940052772708
10,-1.75,1,2025,3,0.016164706527586652,0.014642122620083686,1.0,0.04908539173941917
10,-1.75,2,2021,6,-0.014601271195206452,-0.005476662872278493,0.5,-0.0891898441519704
10,-1.75,2,2022,3,0.012967827430215628,0.017284400329151683,0.6666666666666666,0.03881947086848636
10,-1.75,2,2023,3,0.024017440343928387,0.013302034407716823,0.6666666666666666,0.07230331018053948
10,-1.75,2,2024,4,-0.017303916988770734,0.011866014657463786,0.5,-0.07747434069402737
10,-1.75,2,2025,3,0.0026277514601790544,-0.0031651612656791173,0.3333333333333333,0.007771648600253034
10,-1.75,3,2021,6,-0.0008410552948557489,-0.01343930671916077,0.5,-0.010963804048304326
10,-1.75,3,2022,3,0.05796218223663966,0.12888747107069531,0.6666666666666666,0.1672572683097826
10,-1.75,3,2023,3,0.030293704099381518,0.03603333211371029,1.0,0.09339487018692738
10,-1.75,3,2024,4,0.03664953350701139,0.017257280074889803,0.75,0.1472966032543468
