z_window,z_threshold,hold_days,stop_level,trades,avg_position_return,median_position_return,win_rate,best_trade,worst_trade,avg_mae,median_mae,worst_mae,avg_mfe,median_mfe,best_mfe,stop_exits,fixed_exits,final_capital_50pct,total_return_50pct,trade_sequence_max_drawdown_50pct,return_to_drawdown
6,-1.7,5,-0.12,20,0.04321242034803925,0.06459601080699195,0.8,0.17770467368376797,-0.1208800000000001,-0.06905269229732862,-0.04428739143485244,-0.22068329054528968,0.10232309304840222,0.0999975653571622,0.18739507680980827,4,16,15027.184437339909,0.5027184437339909,-0.11722700640000006,4.288418336118073
5,-1.5,5,-0.08,35,0.025102571363924298,0.0516957418845545,0.5428571428571428,0.30615797310446546,-0.08091999999999999,-0.07462808161723941,-0.05744602052934822,-0.25267021834250625,0.11299890679172615,0.10190117481506222,0.36427469591050765,13,22,14825.409254274995,0.4825409254274995,-0.11653519868933582,4.1407311340659945
6,-1.7,4,-0.12,20,0.041037037480605346,0.07063520018195923,0.75,0.15474564923690926,-0.1208800000000001,-0.06490249504114756,-0.04428739143485244,-0.17271315421996924,0.08543394571979514,0.08754909571930247,0.18739507680980827,4,16,14711.197238847108,0.4711197238847107,-0.11722700640000006,4.0188667982970046
5,-1.5,4,-0.12,35,0.03144484218317239,0.059088183081012824,0.6285714285714286,0.24214612989888917,-0.1208800000000001,-0.06868191091504716,-0.05744602052934822,-0.25267021834250625,0.09928319665088813,0.09576118321052118,0.36427469591050765,6,29,16532.766032804047,0.6532766032804047,-0.17058180613318408,3.829696836310609
5,-1.5,5,-0.15,35,0.02583523319680323,0.0516957418845545,0.6285714285714286,0.30615797310446546,-0.15085000000000004,-0.07462808161723941,-0.05744602052934822,-0.25267021834250625,0.11299890679172615,0.10190117481506222,0.36427469591050765,4,31,14905.244988217692,0.4905244988217692,-0.15993123306295065,3.067096335264879
5,-1.5,5,-0.1,35,0.023664810689093894,0.0516957418845545,0.5714285714285714,0.30615797310446546,-0.1009000000000001,-0.07462808161723941,-0.05744602052934822,-0.25267021834250625,0.11299890679172615,0.10190117481506222,0.36427469591050765,10,25,14400.623868307724,0.4400623868307725,-0.14384279796612498,3.059328607709698
5,-1.5,5,-0.12,35,0.022398278666944594,0.0516957418845545,0.6,0.30615797310446546,-0.1208800000000001,-0.07462808161723941,-0.05744602052934822,-0.25267021834250625,0.11299890679172615,0.10190117481506222,0.36427469591050765,8,27,14038.397916548181,0.4038397916548182,-0.17058180613318397,2.3674259336867087
6,-1.5,5,None,42,0.024788486676353794,0.05173724963263471,0.6428571428571429,0.30615797310446546,-0.2852179615743111,-0.089192460263457,-0.06414101576895015,-0.29821287790133655,0.10361335195282743,0.09742649284487126,0.3446683512210096,0,42,15705.232272639332,0.5705232272639331,-0.27381992466912397,2.083570901399293
6,-1.5,4,-0.08,42,0.01493571915622921,0.002071131653269387,0.5,0.24214612989888917,-0.08091999999999999,-0.07976369461845592,-0.06383527742563372,-0.25267021834250625,0.08867417624304176,0.08593521110245883,0.3446683512210096,15,27,13076.247921741731,0.30762479217417305,-0.1505232028205643,2.0437034716892546
6,-1.5,4,-0.1,42,0.015257557424548814,0.011471386926496296,0.5476190476190477,0.24214612989888917,-0.1009000000000001,-0.07976369461845592,-0.06383527742563372,-0.25267021834250625,0.08867417624304176,0.08593521110245883,0.3446683512210096,12,30,13106.635085320815,0.31066350853208147,-0.18535098173773734,1.6760823472284343
6,-1.5,4,-0.15,42,0.01587544476557398,0.022192105458253453,0.6190476190476191,0.24214612989888917,-0.15085000000000015,-0.07976369461845592,-0.06383527742563372,-0.25267021834250625,0.08867417624304176,0.08593521110245883,0.3446683512210096,7,35,13177.542864501636,0.3177542864501637,-0.20963729571739076,1.5157335690807803
6,-1.5,4,-0.12,42,0.015618290595343046,0.014914794599122816,0.5952380952380952,0.24214612989888917,-0.1208800000000001,-0.07976369461845592,-0.06383527742563372,-0.25267021834250625,0.08867417624304176,0.08593521110245883,0.3446683512210096,10,32,13163.493855335475,0.3163493855335475,-0.2190966913029625,1.4438802505515975
6,-1.5,5,-0.08,42,0.011362893458566517,-0.0028516792352286102,0.5,0.30615797310446546,-0.08091999999999999,-0.089192460263457,-0.06414101576895015,-0.29821287790133655,0.10361335195282743,0.09742649284487126,0.3446683512210096,18,24,12094.718753408066,0.2094718753408067,-0.18657892828345735,1.1226984594024978
