z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,return_std,best_trade,worst_trade,quality_score,years_tested,positive_years
5,-1.4,1,52,0.006241395842883752,0.012416995415683418,0.6153846153846154,0.04461627874822233,0.1042675485693545,-0.1243318538934356,1.008765113243864,6,4
5,-1.4,2,52,0.006525786317621644,-0.004292516625589049,0.4807692307692308,0.07287096888949181,0.2573946495496595,-0.13393466551885636,0.6457731395499291,6,2
5,-1.4,3,52,0.02394920675240962,0.013111386068269337,0.5576923076923077,0.08908118385830167,0.30828048905344985,-0.166363958150599,1.9386831025922457,6,5
5,-1.4,4,52,0.04108692844826501,0.05247380406549507,0.7115384615384616,0.09095808963302957,0.24214612989888917,-0.18957314315380125,3.2573469356978486,6,6
5,-1.4,5,52,0.0336205592545409,0.05332718148158522,0.6730769230769231,0.10785610280406585,0.30615797310446546,-0.2852178471674264,2.2478218135182404,6,6
5,-1.4,6,52,0.03583427064645732,0.04751547780815646,0.6730769230769231,0.1262083032122688,0.30291337614683056,-0.2669770727101105,2.0474453256431406,6,4
5,-1.4,7,52,0.01751423841656088,0.010075708681156592,0.5576923076923077,0.11958754262662522,0.26383606744790766,-0.23365871881686084,1.0561047292153651,6,4
5,-1.5,1,35,0.00264528339944668,0.002554610193488571,0.5714285714285714,0.038828696220888435,0.08899392867341338,-0.08352353509403143,0.40304489110341424,6,4
5,-1.5,2,35,-0.00031430242341819853,-0.007859911770405348,0.4,0.07199809795850741,0.2573946495496595,-0.13393466551885636,-0.025826212992949012,6,2
5,-1.5,3,35,0.025899206061291587,0.020224703751799078,0.5714285714285714,0.08624805581356432,0.25684519287304064,-0.166363958150599,1.776524327791756,6,5
5,-1.5,4,35,0.04941786930698887,0.06135446869742256,0.7142857142857143,0.08447144276593359,0.24214612989888917,-0.1092884385938443,3.4610520189770155,6,6
5,-1.5,5,35,0.038659445411422355,0.05177875738071491,0.6571428571428571,0.10142888249381593,0.30615797310446546,-0.20948503381322603,2.2549037098806988,6,5
5,-1.5,6,35,0.030997627002496538,0.05335341797434401,0.6571428571428571,0.12422977271968148,0.2912142757587206,-0.2669770727101105,1.4761713751769527,6,4
5,-1.5,7,35,0.011306066343063912,0.008490840776050002,0.5142857142857142,0.12008147159139552,0.26383606744790766,-0.23365871881686084,0.5570184111848965,6,4
5,-1.6,1,19,-0.0030976416604514556,-0.010367622524128595,0.47368421052631576,0.04078284638632629,0.08136126963925805,-0.08352353509403143,-0.3310780918356031,5,3
5,-1.6,2,19,-0.007253877285124429,-0.018346591486168795,0.3157894736842105,0.081088284086071,0.2573946495496595,-0.13393466551885636,-0.389932015346887,5,2
5,-1.6,3,19,0.02619291193269112,0.016821225975117482,0.5789473684210527,0.08659934067636044,0.25684519287304064,-0.166363958150599,1.3183963672234698,5,4
5,-1.6,4,19,0.05070523191163569,0.06706270459715591,0.7894736842105263,0.08333828768710708,0.16232056815077067,-0.1092884385938443,2.652070110216658,5,5
5,-1.6,5,19,0.03064244603445641,0.05149260605819461,0.6842105263157895,0.0960053335512077,0.21782628159009687,-0.20948503381322603,1.3912490140545315,5,4
