asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year,event_id
SMH,2024-10-31,2024-11-01,2024-11-07,-2.3114987118472623,242.60071533834736,258.80304116821287,0.0667859771446619,True,2024,21
TSM,2024-11-13,2024-11-14,2024-11-20,-2.0253794899192283,184.538674688166,184.13090084838868,-0.0022096931197017,False,2024,22
SOXL,2024-11-15,2024-11-18,2024-11-22,-2.237718150174405,26.477413909633217,28.196043691635133,0.0649092765580339,True,2024,22
TSM,2024-11-15,2024-11-18,2024-11-22,-1.775645031170159,180.57173082334697,185.8122774810791,0.0290219661396442,True,2024,22
AVGO,2024-11-15,2024-11-18,2024-11-22,-1.922281970697257,163.29990093332182,161.56683283996583,-0.0106127932928975,False,2024,22
SMH,2024-11-15,2024-11-18,2024-11-22,-1.9586776647395203,237.47429547990947,242.54234060668944,0.0213414471513138,True,2024,22
SOXX,2024-11-15,2024-11-18,2024-11-22,-2.292802312124653,209.32156085708303,213.86994612121583,0.0217291770876784,True,2024,22
TSM,2024-11-27,2024-11-29,2024-12-05,-1.8190000841842464,177.7898870795854,199.7129899291992,0.1233090543547068,True,2024,23
AMD,2024-12-09,2024-12-10,2024-12-16,-2.3717226119150996,131.69155755615233,126.56331243896484,-0.0389413354383089,False,2024,24
AMD,2024-12-13,2024-12-16,2024-12-20,-1.968651259675655,126.13601213836668,119.09078908538818,-0.055854176246274,False,2024,24
NVDA,2024-12-16,2024-12-17,2024-12-23,-1.768201592314046,129.02637457552365,139.32225398254394,0.0797967038978821,True,2024,24
SOXL,2024-12-19,2024-12-20,2024-12-27,-1.8050453605295935,25.604748383512515,29.466772956848143,0.1508323579474217,True,2024,24
AMD,2025-02-05,2025-02-06,2025-02-12,-1.7523433897070797,111.04093030548094,111.60828121948242,0.0051093854530996,True,2025,25
SOXL,2025-07-31,2025-08-01,2025-08-07,-1.9535859398412296,23.596724056565943,24.96774598503113,0.0581022147472072,True,2025,26
SOXX,2025-08-01,2025-08-04,2025-08-08,-2.271780282885771,237.88868563879473,241.5002014160156,0.0151815365557339,True,2025,26
SOXX,2025-08-06,2025-08-07,2025-08-13,-1.9018890102214443,241.1567136703976,252.4481201019287,0.0468218622640699,True,2025,26
SOXL,2025-08-06,2025-08-07,2025-08-13,-1.8684404200851403,25.49807144846988,29.23223790550232,0.1464489761344882,True,2025,26
TSM,2025-08-19,2025-08-20,2025-08-26,-1.836201946055929,225.87014159826649,235.8726558837891,0.0442843583252943,True,2025,27
NVDA,2025-08-29,2025-09-02,2025-09-08,-2.0078338088249894,169.94365377773414,167.91803448486328,-0.0119193582569439,False,2025,28
AMD,2025-09-05,2025-09-08,2025-09-12,-2.2166870491627755,151.95180305480957,158.4114373168945,0.0425110734602798,True,2025,29
NVDA,2025-09-05,2025-09-08,2025-09-12,-2.2015115621048853,167.49446413966402,177.41589710998534,0.0592343933352232,True,2025,29
TSM,2025-11-07,2025-11-10,2025-11-14,-1.86642751961733,292.35068686563056,282.3106684570312,-0.0343423800923509,False,2025,30
TSM,2025-11-13,2025-11-14,2025-11-20,-2.065025333099838,274.026670095331,275.05511389160154,0.0037530792017899,True,2025,31
NVDA,2025-12-12,2025-12-15,2025-12-19,-1.8945114741722344,177.90096348322015,180.58874647521972,0.0151083104856433,True,2025,32
AVGO,2026-06-05,2026-06-08,2026-06-12,-1.890481680375836,402.38575709437697,381.0848117980957,-0.0529366283988159,False,2026,33
NVDA,2026-06-05,2026-06-08,2026-06-12,-2.09648685376569,210.390172668457,204.98481243896484,-0.0256920756370603,False,2026,33
AVGO,2026-06-10,2026-06-11,2026-06-17,-1.82799169140877,372.60310248777375,391.8868651428223,0.0517541655619502,True,2026,33
NVDA,2026-06-10,2026-06-11,2026-06-17,-2.011532606480188,201.6914954986572,204.4453439025879,0.0136537656043558,True,2026,33
