z_window,z_threshold,hold_days,stop_level,signal_date,entry_date,exit_date,signal_z,entry_price,exit_price,position_return,account_return,mae,mfe,worst_day_date,best_day_date,exit_reason
5,-1.5,4,-0.1,2021-04-30,2021-05-03,2021-05-04,-1.5340657262513107,36.63245801109698,32.9362429977773,-0.10089999999999988,-0.05044999999999994,-0.15249117195864725,0.0008549163603861487,2021-05-04,2021-05-03,stop
5,-1.5,4,-0.1,2021-06-18,2021-06-21,2021-06-24,-1.5633814405215496,36.46736610975757,39.81587623214722,0.09182209958107412,0.04591104979053706,-0.026539348906163718,0.09690563639212413,2021-06-21,2021-06-24,fixed_hold
5,-1.5,4,-0.1,2021-07-08,2021-07-09,2021-07-14,-1.5024615726842836,39.021529670964775,40.86263802337646,0.047181860063820746,0.023590930031910373,-0.02412172939335977,0.11362018186918399,2021-07-09,2021-07-14,fixed_hold
5,-1.5,4,-0.1,2021-07-15,2021-07-16,2021-07-19,-1.6459638002397239,38.87585920329437,34.95328500968197,-0.10089999999999988,-0.05044999999999994,-0.1337665538087236,0.04442120614513634,2021-07-19,2021-07-21,stop
5,-1.5,4,-0.1,2021-07-27,2021-07-28,2021-08-02,-1.6579915487648518,38.39997777022574,43.818781551361084,0.14111476349178864,0.07055738174589432,-0.01413711341070012,0.18470320900844084,2021-07-28,2021-08-02,fixed_hold
5,-1.5,4,-0.1,2021-08-10,2021-08-11,2021-08-16,-1.5971490283556768,43.760834016372606,41.68647842788696,-0.04740210361871866,-0.02370105180935933,-0.07859555425026565,0.0003311725284307343,2021-08-12,2021-08-11,fixed_hold
5,-1.5,4,-0.1,2021-08-17,2021-08-18,2021-08-23,-1.630351519681503,39.12836353371473,42.34555532455445,0.08222147568394056,0.04111073784197028,-0.07910427959057098,0.08578436299906955,2021-08-19,2021-08-23,fixed_hold
5,-1.5,4,-0.1,2022-08-09,2022-08-10,2022-08-15,-1.6977631597224447,18.56154851430858,21.145849966049195,0.13922876368576942,0.06961438184288471,-0.037126423723900515,0.15031718434962849,2022-08-10,2022-08-15,fixed_hold
5,-1.5,4,-0.1,2022-08-22,2022-08-23,2022-08-26,-1.5346899186475025,16.615893833778028,15.514723156929016,-0.06627213003795618,-0.03313606501897809,-0.06709213754277321,0.13352707197691305,2022-08-26,2022-08-25,fixed_hold
5,-1.5,4,-0.1,2023-04-19,2023-04-20,2023-04-25,-1.6197567001602127,14.508550279350665,13.044637556164183,-0.10089999999999999,-0.050449999999999995,-0.11042293454979102,0.07397671020934471,2023-04-25,2023-04-20,stop
5,-1.5,4,-0.1,2023-04-25,2023-04-26,2023-05-01,-1.7032259650326702,13.360814472170603,14.352289647102356,0.07420768973305547,0.037103844866527735,-0.08168180042699691,0.08481823266231547,2023-04-27,2023-05-01,fixed_hold
