Date,baseline,qqq_filter,z_band,combined
2022-11-02,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-03,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-04,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-07,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-08,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-09,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-10,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-11,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-14,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-15,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-16,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-17,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-18,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-21,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-22,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-23,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-25,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-28,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-29,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-30,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-01,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-02,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-05,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-06,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-07,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-08,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-09,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-12,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-13,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-14,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-15,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-16,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-12-19,13975.90827938898,10316.964601346002,20570.060104664375,10316.964601346002
2022-12-20,13658.396439442991,10316.964601346002,20102.738947350863,10316.964601346002
2022-12-21,14616.190128542692,10316.964601346002,21512.44151256478,10316.964601346002
2022-12-22,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2022-12-23,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2022-12-27,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2022-12-28,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2022-12-29,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2022-12-30,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-03,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-04,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-05,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-06,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-09,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-10,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-11,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-12,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-13,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-17,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-18,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-19,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-20,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-23,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-24,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-25,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-26,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-27,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-30,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-01-31,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-01,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-02,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-03,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-06,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-07,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-08,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-09,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-10,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-13,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-14,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-15,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-16,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-17,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-21,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-22,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-23,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-24,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-27,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-02-28,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-01,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-02,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-03,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-06,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-07,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-08,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-09,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-10,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-13,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-14,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-15,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-16,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-17,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-20,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-21,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-22,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-23,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-24,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-27,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-28,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-29,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-30,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-03-31,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-03,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-04,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-05,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-06,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-10,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-11,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-12,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-13,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-14,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-17,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-18,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-19,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-20,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-21,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-24,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-25,12793.500024043267,10316.964601346002,18829.764705289013,10316.964601346002
2023-04-26,12546.124601872756,10117.475527286533,18829.764705289013,10316.964601346002
2023-04-27,12705.6480545405,10246.11880794973,18829.764705289013,10316.964601346002
2023-04-28,13353.129357875185,10768.262214678403,18829.764705289013,10316.964601346002
2023-05-01,13756.633562236842,11093.657031192253,18829.764705289013,10316.964601346002
