Date,Close,High,Low,Open,Volume
2022-03-03,332.9526672363281,340.5210984604028,331.09460378869966,340.41407433832154,71089400
2022-03-04,328.1275329589844,332.0284954824209,325.8122790448653,330.59846912175567,76936300
2022-03-07,316.0258483886719,329.2754954686106,315.82156737304103,328.1178535672142,89933800
2022-03-08,314.556884765625,324.14873946634606,311.23961212376486,315.23783128014855,116153900
2022-03-09,325.8803405761719,327.2325554489857,320.1407899136627,322.7284579772235,64723400
2022-03-10,322.261474609375,323.46777439300604,317.8254810506982,321.82372966537287,69362700
2022-03-11,315.5782775878906,325.53983175609693,315.0918745614951,325.2285266941595,66228400
2022-03-14,309.5177307128906,317.7087414713096,308.8173091315427,314.3428406690173,79802600
2022-03-15,319.22637939453125,320.00464224223913,310.54896387835566,312.15408832569585,76471000
2022-03-16,331.0653991699219,331.18213115897674,319.4695366915689,323.13703491127427,105243000
2022-03-17,335.0733337402344,335.1316997309201,327.8745745746981,329.16839361847946,67810000
2022-03-18,341.93170166015625,342.22356138391706,332.26200396256377,333.4196459184512,85446300
2022-03-21,340.98101806640625,343.31866317461163,336.5979780751096,341.09792410133036,73799100
2022-03-22,347.68218994140625,348.5490720835401,341.0979103437439,341.4777583376518,63345900
2022-03-23,342.68548583984375,348.36397350473,342.62704769272557,344.8088475078949,70615500
2022-03-24,350.3022766113281,350.3509948884147,342.4517676660401,344.60431889958267,53555300
2022-03-25,350.01007080078125,351.29576956009686,345.71468839424256,350.2438234026969,57584200
2022-03-28,355.425537109375,355.52294392941155,348.76332081543086,350.0003012291695,56833900
2022-03-29,361.5423278808594,362.1656780545059,356.54565799435034,359.31183941200896,68073000
2022-03-30,357.54888916015625,361.3377976846079,356.06840647526775,359.68197082403816,68757700
2022-03-31,353.1171569824219,358.0456391088496,352.279493961754,357.6949804858477,67011400
2022-04-01,352.44512939453125,354.1593648604611,349.269850841836,353.3801696236196,54527800
2022-04-04,359.7013854980469,359.71113509642987,353.0197003720873,353.2826720089601,45950200
2022-04-05,351.71453857421875,358.9611654959589,350.57493534545756,358.2501284622544,62738700
