signal_date,entry_date,day,cumulative_return
2025-05-21,2025-05-22,2,-0.07492212377881036
2025-05-21,2025-05-22,3,0.016821225975117482
2025-05-21,2025-05-22,4,0.002118783395274715
2025-05-21,2025-05-22,5,0.011528409678871476
2025-05-21,2025-05-22,6,-0.049045707777935044
2025-05-21,2025-05-22,7,-0.006114724021395679
2025-05-21,2025-05-22,8,0.07621899944893529
2025-05-21,2025-05-22,9,0.12267879003837812
2025-05-21,2025-05-22,10,0.10621211287913068
2025-07-22,2025-07-23,1,0.0030601394308840124
2025-07-22,2025-07-23,2,-0.0031651612656791173
2025-07-22,2025-07-23,3,-0.003943351690334995
2025-07-22,2025-07-23,4,0.04585942504997731
2025-07-22,2025-07-23,5,0.0516957418845545
2025-07-22,2025-07-23,6,0.07426267033108491
2025-07-22,2025-07-23,7,-0.028066660986177272
2025-07-22,2025-07-23,8,-0.06308426505939535
2025-07-22,2025-07-23,9,-0.027288470561521283
2025-07-22,2025-07-23,10,-0.0459645211183336
2025-08-29,2025-09-02,1,0.04649296218403376
2025-08-29,2025-09-02,2,0.032401583326530536
2025-08-29,2025-09-02,3,0.06307104565479738
2025-08-29,2025-09-02,4,0.09622729166986299
2025-08-29,2025-09-02,5,0.12233776918263906
2025-08-29,2025-09-02,6,0.12648232958709915
2025-08-29,2025-09-02,7,0.18533462870390993
2025-08-29,2025-09-02,8,0.20895840160342516
2025-08-29,2025-09-02,9,0.21434623524097773
2025-08-29,2025-09-02,10,0.2433579999251212
2025-10-10,2025-10-13,1,0.021757731111422984
2025-10-10,2025-10-13,2,-0.04376629111892805
2025-10-10,2025-10-13,3,0.04368610779577309
2025-10-10,2025-10-13,4,0.059088183081012824
2025-10-10,2025-10-13,5,0.05177875738071491
2025-10-10,2025-10-13,6,0.1026839282104699
2025-10-10,2025-10-13,7,0.08362704049162484
2025-10-10,2025-10-13,8,0.00217882691409077
2025-10-10,2025-10-13,9,0.07475126660549591
2025-10-10,2025-10-13,10,0.12617855349719442
2025-10-22,2025-10-23,1,0.08899392867341338
2025-10-22,2025-10-23,2,0.14110273275985952
2025-10-22,2025-10-23,3,0.23897201976816862
2025-10-22,2025-10-23,4,0.24214612989888917
2025-10-22,2025-10-23,5,0.30615797310446546
2025-10-22,2025-10-23,6,0.2535201338457087
2025-10-22,2025-10-23,7,0.26383606744790766
2025-10-22,2025-10-23,8,0.2849970707277574
2025-10-22,2025-10-23,9,0.13210933663686597
2025-10-22,2025-10-23,10,0.23870755263358423
2025-11-04,2025-11-05,1,0.08136126963925805
2025-11-04,2025-11-05,2,-0.00684722242924507
2025-11-04,2025-11-05,3,-0.036172977899815884
