Date,buy_hold,fixed_5d,stop_target_5d
2024-12-09,6832.5039053218,8378.189543857285,16497.629029900872
2024-12-10,6325.267155312949,8378.189543857285,16497.629029900872
2024-12-11,6806.791779314225,8378.189543857285,16497.629029900872
2024-12-12,6652.516323029754,8378.189543857285,16497.629029900872
2024-12-13,7176.116521512084,8378.189543857285,16497.629029900872
2024-12-16,7599.203472678333,8378.189543857285,16497.629029900872
2024-12-17,7276.628868748495,8378.189543857285,16497.629029900872
2024-12-18,6505.25428756516,8378.189543857285,16497.629029900872
2024-12-19,6147.617529974142,8378.189543857285,16497.629029900872
2024-12-20,6381.367321234576,8849.57687001727,17425.845465644572
2024-12-23,6936.217385918822,9619.033955243849,18940.995902388277
2024-12-24,7144.843253238648,9908.35292984311,19510.698591646415
2024-12-26,7165.939770677904,9937.60923861993,19777.357681045167
2024-12-27,6959.658610908871,9651.541866485148,19777.357681045163
2024-12-30,6549.439648802091,9641.890324618662,19777.357681045163
2024-12-31,6401.760426408595,9641.890324618662,19777.357681045163
2025-01-02,6486.14874636481,9641.890324618662,19777.357681045163
2025-01-03,6990.131708352116,9641.890324618662,19777.357681045163
2025-01-06,7616.009760351428,9641.890324618662,19777.357681045163
2025-01-07,7301.898155556458,9641.890324618662,19777.357681045163
2025-01-08,7074.5204783481695,9641.890324618662,19777.357681045163
2025-01-10,6577.5684887343805,9641.890324618662,19777.357681045163
2025-01-13,6528.342681322998,9641.890324618662,19777.357681045163
2025-01-14,6591.633583760281,9641.890324618662,19777.357681045163
2025-01-15,7018.261448364081,9641.890324618662,19777.357681045163
2025-01-16,7029.981835839188,9641.890324618662,19777.357681045163
2025-01-17,7616.009760351428,9641.890324618662,19777.357681045163
2025-01-21,7897.301759993012,9641.890324618662,19777.357681045163
2025-01-22,8239.542654760107,9641.890324618662,19777.357681045163
2025-01-23,8185.627882286974,9641.890324618662,19777.357681045163
2025-01-24,7653.5151802877035,9641.890324618662,19777.357681045163
2025-01-27,5874.336239431237,9641.890324618662,19777.357681045163
2025-01-28,5947.004171912345,9605.754327913266,19703.23585348414
2025-01-29,6019.671204313778,9723.12799048499,19943.991641909593
2025-01-30,6364.255456512155,10279.70935081401,21085.646262655868
2025-01-31,6333.781458989237,10230.48696503242,20984.681752923654
2025-02-03,6003.262751856596,9696.624635409278,19869.738572989547
2025-02-04,6153.285331681375,9686.928010773869,19869.738572989547
2025-02-05,6493.181518897677,9686.928010773869,19869.738572989547
2025-02-06,6490.8372613867205,9686.928010773869,19869.738572989547
2025-02-07,6172.038041649514,9686.928010773869,19869.738572989547
2025-02-10,6411.137456452419,9686.928010773869,19869.738572989547
2025-02-11,6422.857843927527,9686.928010773869,19869.738572989547
2025-02-12,6455.675198881728,9686.928010773869,19869.738572989547
2025-02-13,6673.677196165702,9686.928010773869,19869.738572989547
2025-02-14,6692.430356173678,9686.928010773869,19869.738572989547
2025-02-18,7029.981835839188,9686.928010773869,19869.738572989547
2025-02-19,7376.910345548521,9686.928010773869,19869.738572989547
2025-02-20,7430.825118021654,9686.928010773869,19869.738572989547
2025-02-21,6753.3774511398415,9686.928010773869,19869.738572989547
2025-02-24,6272.835264102747,9686.928010773869,19869.738572989547
2025-02-25,5876.680496942194,9686.928010773869,19869.738572989547
2025-02-26,6162.661911685363,9686.928010773869,19869.738572989547
2025-02-27,5098.436507686822,9686.928010773869,19869.738572989547
2025-02-28,5328.15934248574,10090.087754281978,20696.696169634237
2025-03-03,4807.767027961575,9104.605942892855,18675.284847184055
2025-03-04,4840.584382915777,9166.753106681846,17467.884574286574
2025-03-05,5145.318957666922,9743.837687558585,17467.88457428657
2025-03-06,4507.720968232343,8536.400137024055,17467.88457428657
2025-03-07,4894.498705349072,8527.863736887031,18685.38718980873
2025-03-10,4217.051488507097,8527.863736887031,15356.366686946809
2025-03-11,4081.0935536683805,8527.863736887031,15356.36668694681
2025-03-12,4289.718520908531,8527.863736887031,15356.36668694681
2025-03-13,4240.492713497148,8527.863736887031,15356.36668694681
2025-03-14,4641.334645560104,8527.863736887031,15356.36668694681
2025-03-17,4873.402187909815,8527.863736887031,15356.36668694681
2025-03-18,4671.808643083023,8527.863736887031,15356.36668694681
2025-03-19,4777.293480478494,8527.863736887031,15356.36668694681
2025-03-20,4671.808643083023,8527.863736887031,15356.36668694681
2025-03-21,4519.4413557074495,8527.863736887031,15356.36668694681
2025-03-24,4922.628445361035,8527.863736887031,15356.36668694681
2025-03-25,4832.099331828895,8527.863736887031,15356.36668694681
2025-03-26,4418.256198914718,8527.863736887031,15356.36668694681
2025-03-27,4176.062760232407,8527.863736887031,15356.36668694681
2025-03-28,3769.2731016836,8527.863736887031,15356.36668694681
2025-03-31,3750.4618865366515,9016.824431789535,16236.852111913055
2025-04-01,3750.4618865366515,9016.824431789535,16236.852111913055
2025-04-02,3823.3548389362613,9192.072967566291,16552.42713278232
2025-04-03,2682.932290054823,6450.2800331462495,13500.08908182868
2025-04-04,2052.7606329905725,4935.2273901542185,13500.08908182868
2025-04-07,2151.518724942339,4930.292162764064,13500.08908182868
2025-04-08,1939.8940171686354,4930.292162764064,13500.08908182868
2025-04-09,3002.720922373686,4930.292162764064,13500.08908182868
2025-04-10,2264.385340764276,4930.292162764064,13500.08908182868
2025-04-11,2405.468554286718,4930.292162764064,13500.08908182868
2025-04-14,2461.9019747076454,4930.292162764064,13500.08908182868
2025-04-15,2492.4700305564984,4930.292162764064,13500.08908182868
2025-04-16,2196.195079641444,4930.292162764064,13500.08908182868
2025-04-17,2163.2757906641614,4930.292162764064,13500.08908182868
2025-04-21,2048.0579417137947,4930.292162764064,13500.08908182868
2025-04-22,2158.5730993873835,4930.292162764064,13500.08908182868
2025-04-23,2419.5770781568885,4930.292162764064,13500.08908182868
2025-04-24,2821.664045428917,4930.292162764064,13500.08908182868
2025-04-25,2901.6113722735713,4930.292162764064,13500.08908182868
2025-04-28,2889.854306551749,4930.292162764064,13500.08908182868
2025-04-29,2788.7445314317156,4930.292162764064,13500.08908182868
2025-04-30,2859.286250702896,4930.292162764064,13500.08908182868
2025-05-01,2845.177951852643,4930.292162764064,13500.08908182868
2025-05-02,3124.9929207491787,4930.292162764064,13500.08908182868
2025-05-05,3068.559725348169,4930.292162764064,13500.08908182868
2025-05-06,2972.152866524833,4930.292162764064,13500.08908182868
2025-05-07,3122.6414626008304,4930.292162764064,13500.08908182868
2025-05-08,3211.994397018959,4930.292162764064,13500.08908182868
2025-05-09,3317.8066383958517,4930.292162764064,13500.08908182868
2025-05-12,4027.9253972848387,4930.292162764064,13500.08908182868
2025-05-13,4373.579394175776,4930.292162764064,13500.08908182868
2025-05-14,4430.012589576786,4930.292162764064,13500.08908182868
2025-05-15,4343.010888287086,4930.292162764064,13500.08908182868
2025-05-16,4324.200123179974,4930.292162764064,13500.08908182868
2025-05-19,4246.604254483668,4930.292162764064,13500.08908182868
2025-05-20,4225.441581188371,4930.292162764064,13500.08908182868
2025-05-21,3997.3573414359857,4930.292162764064,13500.08908182868
2025-05-22,3882.139492485619,4930.292162764064,13500.08908182868
2025-05-23,3698.731157392501,4930.292162764064,13500.08908182868
2025-05-27,4065.547827578736,4930.292162764064,13500.08908182868
2025-05-28,4006.7631740293787,4930.292162764064,13500.08908182868
2025-05-29,4044.3856043232763,4930.292162764064,13500.08908182868
2025-05-30,3802.1921656409645,4930.292162764064,13500.08908182868
2025-06-02,3973.8436600321775,4930.292162764064,13500.08908182868
2025-06-03,4303.037449884678,4930.292162764064,13500.08908182868
2025-06-04,4488.797243126143,4930.292162764064,13500.08908182868
2025-06-05,4422.958665171578,4930.292162764064,13500.08908182868
2025-06-06,4509.959466381603,4930.292162764064,13500.08908182868
2025-06-09,4839.154156313777,4930.292162764064,13500.08908182868
2025-06-10,5147.18527287098,4930.292162764064,13500.08908182868
2025-06-11,5088.400619321622,4930.292162764064,13500.08908182868
2025-06-12,5100.1579100633635,4930.292162764064,13500.08908182868
2025-06-13,4712.179466661506,4930.292162764064,13500.08908182868
2025-06-16,5149.537181059165,4930.292162764064,13500.08908182868
2025-06-17,5036.67034021731,4930.292162764064,13500.08908182868
2025-06-18,5081.347144956251,4930.292162764064,13500.08908182868
2025-06-20,4987.291069221507,4930.292162764064,13500.08908182868
2025-06-23,5074.29232047137,4930.292162764064,13500.08908182868
2025-06-24,5649.373025948476,4930.292162764064,13500.08908182868
2025-06-25,5797.9784303265305,4930.292162764064,13500.08908182868
2025-06-26,5944.225625958679,4930.292162764064,13500.08908182868
2025-06-27,5922.995896727668,4930.292162764064,13500.08908182868
2025-06-30,5922.995896727668,4930.292162764064,13500.08908182868
2025-07-01,5828.642794700501,4930.292162764064,13500.08908182868
2025-07-02,6144.7246739018765,4930.292162764064,13500.08908182868
2025-07-03,6234.360008317726,4930.292162764064,13500.08908182868
2025-07-07,5889.972423528119,4930.292162764064,13500.08908182868
2025-07-08,6220.207155523611,4930.292162764064,13500.08908182868
2025-07-09,6286.254101922708,4930.292162764064,13500.08908182868
2025-07-10,6456.089235531772,4930.292162764064,13500.08908182868
2025-07-11,6437.218615126339,4930.292162764064,13500.08908182868
2025-07-14,6250.871969937419,4930.292162764064,13500.08908182868
2025-07-15,6437.218615126339,4930.292162764064,13500.08908182868
2025-07-16,6375.889436338558,4930.292162764064,13500.08908182868
2025-07-17,6444.295041523396,4930.292162764064,13500.08908182868
2025-07-18,6446.653700309136,4930.292162764064,13500.08908182868
2025-07-21,6486.753599905744,4930.292162764064,13500.08908182868
2025-07-22,6208.412961515233,4930.292162764064,13500.08908182868
2025-07-23,6081.036836328357,4930.292162764064,13500.08908182868
2025-07-24,6043.296045557327,4930.292162764064,13500.08908182868
2025-07-25,6038.578277946009,4930.292162764064,13500.08908182868
2025-07-28,6340.506854313431,4930.292162764064,13500.08908182868
2025-07-29,6375.889436338558,4930.292162764064,13500.08908182868
2025-07-30,6512.701096748072,4930.292162764064,13500.08908182868
2025-07-31,5892.331082313859,4930.292162764064,13500.08908182868
2025-08-01,5680.037390322449,5029.806295796432,13772.577935731557
2025-08-04,5897.048849925177,5221.975031803258,14298.772929697216
2025-08-05,5783.825577532414,5121.713169217268,14024.236648329643
2025-08-06,5658.808111131275,5011.007271284215,13721.102587580153
2025-08-07,5897.048849925177,5221.975031803258,14284.47415676752
2025-08-08,6064.5248747086625,5216.753056771455,14284.47415676752
2025-08-11,6040.936936731749,5216.753056771455,14284.47415676752
2025-08-12,6604.694639909824,5216.753056771455,14284.47415676752
2025-08-13,6904.265007531344,5216.753056771455,14284.47415676752
2025-08-14,6939.647139516633,5216.753056771455,14284.47415676752
2025-08-15,6456.089235531772,5216.753056771455,14284.47415676752
2025-08-18,6493.8304763426395,5216.753056771455,14284.47415676752
2025-08-19,6189.542341109802,5216.753056771455,14284.47415676752
2025-08-20,6085.754153899837,5216.753056771455,14284.47415676752
2025-08-21,5979.607757943968,5216.753056771455,14284.47415676752
2025-08-22,6474.959855937205,5216.753056771455,14284.47415676752
2025-08-25,6439.577273912078,5216.753056771455,14284.47415676752
2025-08-26,6590.541787115709,5216.753056771455,14284.47415676752
2025-08-27,6647.153648332009,5216.753056771455,14284.47415676752
2025-08-28,6729.712106310963,5216.753056771455,14284.47415676752
2025-08-29,6142.366465155973,5216.753056771455,14284.47415676752
2025-09-02,5956.019369927218,5216.753056771455,14284.47415676752
2025-09-03,5875.819570734004,5216.753056771455,14284.47415676752
2025-09-04,6050.372021914547,5216.753056771455,14284.47415676752
2025-09-05,6239.077775929044,5216.753056771455,14284.47415676752
2025-09-08,6387.683180307096,5216.753056771455,14284.47415676752
2025-09-09,6411.2715683238475,5216.753056771455,14284.47415676752
2025-09-10,6746.224067930656,5216.753056771455,14284.47415676752
2025-09-11,6880.676619514593,5216.753056771455,14284.47415676752
2025-09-12,6911.340983888565,5216.753056771455,14284.47415676752
2025-09-15,7076.458799926148,5216.753056771455,14284.47415676752
2025-09-16,7189.681622279073,5216.753056771455,14284.47415676752
2025-09-17,7187.322963493331,5216.753056771455,14284.47415676752
2025-09-18,7935.069103114424,5216.753056771455,14284.47415676752
2025-09-19,7788.822357522112,5216.753056771455,14284.47415676752
2025-09-22,8121.415298263507,5216.753056771455,14284.47415676752
2025-09-23,8093.101491958209,5216.753056771455,14284.47415676752
2025-09-24,8069.50680338374,5216.753056771455,14284.47415676752
2025-09-25,7986.923593213751,5216.753056771455,14284.47415676752
2025-09-26,8027.035643885956,5216.753056771455,14284.47415676752
2025-09-29,8027.035643885956,5216.753056771455,14284.47415676752
2025-09-30,8220.514970451559,5216.753056771455,14284.47415676752
2025-10-01,8697.13506030916,5216.753056771455,14284.47415676752
2025-10-02,9220.945427395372,5216.753056771455,14284.47415676752
2025-10-03,9020.38697419369,5216.753056771455,14284.47415676752
2025-10-06,9841.494557684713,5216.753056771455,14284.47415676752
2025-10-07,9161.957805879527,5216.753056771455,14284.47415676752
2025-10-08,10093.961505766163,5216.753056771455,14284.47415676752
2025-10-09,9966.548927352485,5216.753056771455,14284.47415676752
2025-10-10,8071.865912209318,5216.753056771455,14284.47415676752
2025-10-13,9235.101880508184,5216.753056771455,14284.47415676752
2025-10-14,8642.866556524143,5216.753056771455,14284.47415676752
2025-10-15,9433.300324804615,5216.753056771455,14284.47415676752
2025-10-16,9572.5111475852,5216.753056771455,14284.47415676752
2025-10-17,9506.445299512949,5216.753056771455,14284.47415676752
2025-10-20,9966.548927352485,5216.753056771455,14284.47415676752
2025-10-21,9794.304280456101,5216.753056771455,14284.47415676752
2025-10-22,9058.139015960645,5216.753056771455,14284.47415676752
2025-10-23,9714.081079191363,5216.753056771455,14284.47415676752
2025-10-24,10178.90382476173,5216.753056771455,14284.47415676752
2025-10-27,11051.920803212193,5216.753056771455,14284.47415676752
2025-10-28,11080.23460951749,5216.753056771455,14284.47415676752
2025-10-29,11651.235253832316,5216.753056771455,14284.47415676752
2025-10-30,11181.69339053112,5216.753056771455,14284.47415676752
2025-10-31,11273.713936083093,5216.753056771455,14284.47415676752
2025-11-03,11462.475044997542,5216.753056771455,14284.47415676752
2025-11-04,10098.680623496992,5216.753056771455,14284.47415676752
2025-11-05,11049.561694386615,5216.753056771455,14284.47415676752
2025-11-06,10148.23000955118,5216.753056771455,14284.47415676752
2025-11-07,9848.573684320792,5216.753056771455,14284.47415676752
2025-11-10,10608.333637390719,5216.753056771455,14284.47415676752
2025-11-11,9865.090146338856,5216.753056771455,14284.47415676752
2025-11-12,10313.395529811485,5216.753056771455,14284.47415676752
2025-11-13,9253.978351431499,5216.753056771455,14284.47415676752
2025-11-14,9169.036032435932,5216.753056771455,14284.47415676752
2025-11-17,8692.415942578331,5216.753056771455,14284.47415676752
2025-11-18,8104.898836245444,5069.850924227936,13882.227837446704
2025-11-19,8484.779262820242,5307.477225392052,14532.89439593774
2025-11-20,7269.634349601772,4547.36859407872,12557.766920697462
2025-11-21,7486.70881478168,4683.155011670634,12557.766920697462
2025-11-24,8461.184574245774,5292.7180586099585,12557.766920697462
2025-11-25,8534.328648874432,5287.425340551348,12557.766920697462
2025-11-26,9246.89922479542,5287.425340551348,12557.766920697462
2025-11-28,9735.316658940255,5287.425340551348,12557.766920697462
2025-12-01,9747.114903307163,5287.425340551348,12557.766920697462
2025-12-02,10334.631109560378,5287.425340551348,12557.766920697462
2025-12-03,10990.57407287077,5287.425340551348,12557.766920697462
2025-12-04,10655.52391461933,5287.425340551348,12557.766920697462
2025-12-05,10971.697601947455,5287.425340551348,12557.766920697462
2025-12-08,11323.264222216956,5287.425340551348,12557.766920697462
2025-12-09,11276.073944988344,5287.425340551348,12557.766920697462
2025-12-10,11714.94199307899,5287.425340551348,12557.766920697462
2025-12-11,11512.02443105173,5287.425340551348,12557.766920697462
2025-12-12,9841.494557684713,5287.425340551348,12557.766920697462
