strategy,signal_date,entry_date,exit_date,position_fraction,capital_before,invested_capital,cash_held,position_return,account_return,capital_after,exit_reason
1% Account Risk,2024-07-19,2024-07-22,2024-07-24,0.08333333333333334,10335.303688217027,861.2753073514191,9474.028380865608,-0.12087999999999999,-0.010073333333333379,10231.192729064387,stop
1% Account Risk,2024-10-31,2024-11-01,2024-11-07,0.08333333333333334,10231.192729064387,852.599394088699,9378.593334975689,0.17750567337330847,0.014792139447775687,10382.533958629776,time_exit
1% Account Risk,2024-11-15,2024-11-18,2024-11-22,0.08333333333333334,10382.533958629776,865.2111632191481,9517.322795410628,0.06490920459325333,0.005409100382771204,10438.694127039535,time_exit
1% Account Risk,2024-12-19,2024-12-20,2024-12-26,0.08333333333333334,10438.694127039535,869.8911772532947,9568.80294978624,0.19879999999999987,0.01656666666666662,10611.62849307749,target
1% Account Risk,2025-07-31,2025-08-01,2025-08-07,0.08333333333333334,10611.62849307749,884.3023744231242,9727.326118654364,0.058102214747207226,0.004841851228934102,10663.008419537688,time_exit
2% Account Risk,2021-04-30,2021-05-03,2021-05-04,0.16666666666666669,10000.0,1666.6666666666667,8333.333333333334,-0.12087999999999999,-0.020146666666666757,9798.533333333333,stop
2% Account Risk,2021-05-10,2021-05-11,2021-05-17,0.16666666666666669,9798.533333333333,1633.088888888889,8165.444444444443,0.06953342050918354,0.011588903418197072,9912.087589773319,time_exit
2% Account Risk,2021-07-16,2021-07-19,2021-07-23,0.16666666666666669,9912.087589773319,1652.0145982955532,8260.072991477766,0.1777047993783485,0.029617466563058192,10205.658512533533,time_exit
2% Account Risk,2021-08-18,2021-08-19,2021-08-25,0.16666666666666669,10205.658512533533,1700.9430854222558,8504.715427111278,0.1705221696965895,0.02842036161609829,10495.707017990148,time_exit
2% Account Risk,2021-12-16,2021-12-17,2021-12-23,0.16666666666666669,10495.707017990148,1749.2845029983582,8746.42251499179,0.17355589695900497,0.02892598282650094,10799.305658944515,time_exit
2% Account Risk,2022-08-22,2022-08-23,2022-08-29,0.16666666666666669,10799.305658944515,1799.8842764907527,8999.421382453762,-0.1208800000000001,-0.020146666666666757,10581.735647602312,stop
2% Account Risk,2023-04-25,2023-04-26,2023-05-02,0.16666666666666669,10581.735647602312,1763.6226079337189,8818.113039668593,0.05149252952442196,0.008582088254070364,10672.549036811277,time_exit
2% Account Risk,2024-07-19,2024-07-22,2024-07-24,0.16666666666666669,10672.549036811277,1778.7581728018797,8893.790864009397,-0.12087999999999999,-0.020146666666666646,10457.532748882986,stop
2% Account Risk,2024-10-31,2024-11-01,2024-11-07,0.16666666666666669,10457.532748882986,1742.9221248138313,8714.610624069155,0.17750567337330847,0.029584278895551375,10766.911314285302,time_exit
2% Account Risk,2024-11-15,2024-11-18,2024-11-22,0.16666666666666669,10766.911314285302,1794.4852190475506,8972.426095237752,0.06490920459325333,0.010818200765542185,10883.389922508028,time_exit
2% Account Risk,2024-12-19,2024-12-20,2024-12-26,0.16666666666666669,10883.389922508028,1813.898320418005,9069.491602090024,0.19879999999999987,0.03313333333333324,11243.992908607126,target
2% Account Risk,2025-07-31,2025-08-01,2025-08-07,0.16666666666666669,11243.992908607126,1873.998818101188,9369.994090505937,0.058102214747207226,0.009683702457867982,11352.876390372454,time_exit
