asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year
NVDA,2025-08-29,2025-09-02,2025-09-08,-2.0078338088249894,169.94365377773414,167.91803448486328,-0.011919358256943902,False,2025
NVDA,2025-09-05,2025-09-08,2025-09-12,-2.2015115621048853,167.49446413966402,177.41589710998534,0.05923439333522329,True,2025
NVDA,2025-12-12,2025-12-15,2025-12-19,-1.8945114741722342,177.90096348322015,180.58874647521972,0.015108310485643317,True,2025
NVDA,2026-06-05,2026-06-08,2026-06-12,-2.09648685376569,210.390172668457,204.98481243896484,-0.02569207563706033,False,2026
NVDA,2026-06-10,2026-06-11,2026-06-17,-2.011532606480188,201.69149549865722,204.4453439025879,0.013653765604355828,True,2026
AMD,2021-01-15,2021-01-19,2021-01-25,-1.9881526210251839,89.64955755615233,94.03586725616455,0.048927287758947724,True,2021
AMD,2021-01-29,2021-02-01,2021-02-05,-2.000648481055561,86.91683183288573,87.81210152435303,0.010300302859503896,True,2021
AMD,2021-05-10,2021-05-11,2021-05-17,-1.7782145306476431,73.64356969451903,74.57535152435302,0.012652589135740078,True,2021
AMD,2021-12-06,2021-12-07,2021-12-13,-1.9694629372167822,144.04389389038084,133.66620304870605,-0.07204533674695257,False,2021
AMD,2021-12-09,2021-12-10,2021-12-16,-1.908619249344081,141.43128327941892,138.50135939025878,-0.020716236332040006,False,2021
AMD,2021-12-13,2021-12-14,2021-12-20,-1.9968618976346344,131.80166816711423,135.66420304870604,0.029305660051998972,True,2021
AMD,2022-08-26,2022-08-29,2022-09-02,-1.9005069663866185,90.14005305480956,80.15975786590576,-0.11071987258355942,False,2022
AMD,2022-12-09,2022-12-12,2022-12-16,-2.01927367135962,68.60854091644286,65.34459365844727,-0.04757348304449005,False,2022
AMD,2023-04-17,2023-04-18,2023-04-24,-1.999675297900345,91.70161061096191,87.4824296951294,-0.04600988889641322,False,2023
AMD,2023-04-25,2023-04-26,2023-05-02,-2.3436097063124253,86.59651213836669,89.82009365844726,0.03722530435094007,True,2023
AMD,2023-05-03,2023-05-04,2023-05-10,-2.428805975608223,81.65156969451904,96.92297664642334,0.1870313946080746,True,2023
AMD,2023-06-23,2023-06-26,2023-06-30,-1.9480977437292257,111.06094694519042,113.79609365844726,0.02462743915380683,True,2023
AMD,2024-02-21,2024-02-22,2024-02-28,-1.876382687257641,173.37319694519041,176.36345329284669,0.017247512304924495,True,2024
AMD,2024-04-12,2024-04-15,2024-04-19,-1.805037400660048,164.594422668457,146.4933593902588,-0.10997373413228728,False,2024
AMD,2024-06-18,2024-06-20,2024-06-26,-2.039344345042315,155.97582733154294,157.3824532928467,0.009018230487175538,True,2024
AMD,2024-10-31,2024-11-01,2024-11-07,-1.9664805379827888,144.58444244384765,149.67018731689453,0.03517491084853086,True,2024
AMD,2024-12-09,2024-12-10,2024-12-16,-2.3717226119150996,131.69155755615233,126.56331243896484,-0.03894133543830891,False,2024
AMD,2024-12-13,2024-12-16,2024-12-20,-1.9686512596756547,126.13601213836668,119.09078908538818,-0.05585417624627409,False,2024
AMD,2025-02-05,2025-02-06,2025-02-12,-1.7523433897070797,111.04093030548094,111.60828121948242,0.005109385453099691,True,2025
AMD,2025-09-05,2025-09-08,2025-09-12,-2.2166870491627755,151.95180305480955,158.41143731689453,0.042511073460279825,True,2025
AVGO,2021-05-04,2021-05-05,2021-05-11,-1.8639567415146536,40.7267600716998,39.71229644393921,-0.02490901868880857,False,2021
AVGO,2021-05-10,2021-05-11,2021-05-17,-1.8712871514930975,38.42914818465329,39.70056273651123,0.033084640485621764,True,2021
AVGO,2021-08-18,2021-08-19,2021-08-25,-2.7778738595725043,42.49815092400831,43.964814571380614,0.034511234382758715,True,2021
AVGO,2022-08-26,2022-08-29,2022-09-02,-1.982871577635011,48.76570707534431,46.817004844665526,-0.039960503959636795,False,2022
AVGO,2023-02-22,2023-02-23,2023-03-01,-2.01900423309051,55.854547466785625,56.48714984893799,0.011325888595347555,True,2023
AVGO,2023-04-12,2023-04-13,2023-04-19,-1.8682436028610414,59.45668016679983,60.81685359191894,0.022876713286098083,True,2023
