z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate
4,-1.1,1,2022,11,0.004032254216993694,-0.012997056371029214,0.45454545454545453
4,-1.1,1,2023,22,-0.000585915917604934,0.0060948110578086245,0.5454545454545454
4,-1.1,1,2024,25,0.002692275150848915,0.012015034173460615,0.68
4,-1.1,1,2025,20,0.012568235396087268,0.017338000577854285,0.7
4,-1.1,1,2026,4,-0.001021909590522535,0.012949821977140341,0.75
4,-1.1,2,2021,23,0.012992912985282032,0.009977903385981923,0.6086956521739131
4,-1.1,2,2022,11,0.027126651721447903,0.01728428618272293,0.5454545454545454
4,-1.1,2,2023,22,0.011783820506116345,0.0020426278616185733,0.5454545454545454
4,-1.1,2,2024,25,0.006206365043547271,-0.0009727819953488925,0.48
4,-1.1,2,2025,20,0.014835245912507239,0.013459590063092608,0.55
4,-1.1,2,2026,4,-0.00894908737653241,-0.008576194964445338,0.5
4,-1.1,3,2021,23,-0.010124133088093384,-0.014805864317004369,0.43478260869565216
4,-1.1,3,2022,11,0.003681558544374373,0.026545777572965612,0.6363636363636364
4,-1.1,3,2023,22,0.03046371688388796,0.0139468239053534,0.5909090909090909
4,-1.1,3,2024,25,0.018479113010547065,0.020440026254803012,0.56
4,-1.1,3,2025,20,0.02407666070140963,0.020794778179691997,0.6
4,-1.1,3,2026,4,-0.03523232714679686,-0.053895875445511,0.25
4,-1.1,4,2021,23,0.012350244109033568,0.010559378509061856,0.5652173913043478
4,-1.1,4,2022,11,-0.01813863675611964,-0.026660502328245017,0.36363636363636365
4,-1.1,4,2023,22,0.01628625136890104,-0.009801392327350444,0.4090909090909091
4,-1.1,4,2024,25,0.027578881129388454,0.03680827878886417,0.64
4,-1.1,4,2025,20,0.04024377740423142,0.042020037017831746,0.75
4,-1.1,4,2026,4,-0.010360086905640054,0.0017172301525049671,0.5
4,-1.1,5,2021,23,0.014755064119492846,0.015703401265500627,0.5217391304347826
4,-1.1,5,2022,11,-0.03088135072487532,-0.035703429809583964,0.45454545454545453
4,-1.1,5,2023,22,0.024290555767365364,-0.0020839171592117456,0.5
4,-1.1,5,2024,25,0.027036554857918237,0.06490920459325333,0.64
4,-1.1,5,2025,20,0.05399283530965086,0.05173724963263471,0.7
4,-1.1,5,2026,4,0.06896538747686665,0.0680291251557894,1.0
4,-1.1,6,2021,23,0.006757764764475036,0.0031696501317270975,0.5217391304347826
4,-1.1,6,2022,11,-0.026792624988934654,-0.021206349335006647,0.45454545454545453
4,-1.1,6,2023,22,0.023467252741381294,-0.012500331859002844,0.36363636363636365
4,-1.1,6,2024,25,0.03840523293300772,0.062370042327470676,0.64
4,-1.1,6,2025,20,0.05976011172126763,0.0954181083447544,0.75
4,-1.1,6,2026,4,0.15839374633874845,0.18296054939741668,0.75
4,-1.1,7,2021,23,0.015063691293537993,0.018332652662383486,0.6086956521739131
4,-1.1,7,2022,11,-0.08113667407278875,-0.04237178784458151,0.36363636363636365
4,-1.1,7,2023,22,0.018217911799546207,-0.026614962309427337,0.36363636363636365
4,-1.1,7,2024,25,0.016760373508529023,0.05145301401301894,0.52
4,-1.1,7,2025,20,0.07279256688691788,0.056281691478430984,0.7
4,-1.1,7,2026,4,0.05780588819593693,0.06745226405278104,0.75
4,-1.0,1,2021,26,0.0036641929509526904,0.012673722589318426,0.5384615384615384
4,-1.0,1,2022,12,0.0042123879411927745,-0.016684169751885913,0.4166666666666667
4,-1.0,1,2023,24,0.0063919612279754595,0.0060948110578086245,0.5416666666666666
4,-1.0,1,2024,27,-0.0013281231139079036,0.010664036776783403,0.6296296296296297
4,-1.0,1,2025,20,0.012074611974296268,0.017338000577854285,0.7
4,-1.0,1,2026,6,0.018803960692521826,0.024964821800206538,0.8333333333333334
4,-1.0,2,2021,26,0.005241829161028794,0.009608092447853989,0.5384615384615384
4,-1.0,2,2022,12,0.029398335330969055,0.010147833587960509,0.5
4,-1.0,2,2023,24,0.013663346979688901,0.0065241465115347674,0.5833333333333334
4,-1.0,2,2024,27,0.005223487846363674,-0.005478350709307578,0.4444444444444444
4,-1.0,2,2025,20,0.011187063215858823,-0.0012579693227433575,0.5
4,-1.0,2,2026,6,0.049787831022311047,0.06573963852108622,0.6666666666666666
4,-1.0,3,2021,26,-0.005639423441193349,-0.0141730736017035,0.46153846153846156
4,-1.0,3,2022,12,0.0011830880415644545,0.015457308253058466,0.5833333333333334
4,-1.0,3,2023,24,0.033476545658442075,0.018861610349684255,0.625
4,-1.0,3,2024,27,0.02511112172256036,0.03470653624263598,0.6296296296296297
4,-1.0,3,2025,20,0.02066531134322372,0.02075034200586512,0.55
4,-1.0,3,2026,6,-0.0005706915278193744,0.001467863439245376,0.5
4,-1.0,4,2021,26,0.0103721934292989,0.010795627394977192,0.5769230769230769
4,-1.0,4,2022,12,0.007085092285733295,0.02288206114691843,0.5
4,-1.0,4,2023,24,0.01700836724750192,-0.002228865644566813,0.4583333333333333
4,-1.0,4,2024,27,0.024974838666129685,0.03139287305322069,0.5925925925925926
4,-1.0,4,2025,20,0.03604133811105299,0.04083398528104798,0.7
4,-1.0,4,2026,6,-0.01585764235003606,0.0017172301525049671,0.5
4,-1.0,5,2021,26,0.005743090750302177,0.008199487954381524,0.5384615384615384
4,-1.0,5,2022,12,-0.015846325332659183,-0.0013418733983067144,0.5
4,-1.0,5,2023,24,0.027811438759777266,-0.015997441170485904,0.4583333333333333
4,-1.0,5,2024,27,0.025526445223414147,0.05487560558245552,0.5925925925925926
4,-1.0,5,2025,20,0.050373976556779186,0.05173724963263471,0.65
4,-1.0,5,2026,5,0.1059077038619701,0.09961989973117125,1.0
4,-1.0,6,2021,26,0.0015246575612530887,0.002645589248928548,0.5384615384615384
4,-1.0,6,2022,12,-0.005720471399632572,0.0010641327602369244,0.5
4,-1.0,6,2023,24,0.0372706415470501,-0.011515154015809215,0.4166666666666667
4,-1.0,6,2024,27,0.03478139487438417,0.05967721195282549,0.6296296296296297
4,-1.0,6,2025,20,0.05684185440614855,0.08263793654106877,0.75
4,-1.0,6,2026,5,0.21517549616277573,0.2912142757587206,0.8
4,-1.0,7,2021,26,0.007751615254034437,0.012332951322677754,0.5384615384615384
4,-1.0,7,2022,12,-0.053610145724929274,-0.03262425731962387,0.4166666666666667
4,-1.0,7,2023,24,0.03094348861316273,-0.02247120101723904,0.4166666666666667
4,-1.0,7,2024,27,0.020502121515545202,0.0211921417254064,0.5555555555555556
4,-1.0,7,2025,20,0.07232779586779539,0.08377348315040789,0.7
4,-1.0,7,2026,5,0.11079003499344486,0.07177893646327926,0.8
5,-1.7,1,2023,2,-0.00260303825566105,-0.00260303825566105,0.5
5,-1.7,1,2024,2,-0.03141226212146425,-0.03141226212146425,0.0
5,-1.7,1,2025,2,0.01734175753392503,0.01734175753392503,0.5
5,-1.7,2,2023,2,0.007818651101348328,0.007818651101348328,0.5
5,-1.7,2,2024,2,-0.08692054960622414,-0.08692054960622414,0.0
5,-1.7,2,2025,2,-0.0347492664906387,-0.0347492664906387,0.0
5,-1.7,3,2023,2,0.06077403370176904,0.06077403370176904,1.0
5,-1.7,3,2024,2,-0.02571653621662101,-0.02571653621662101,0.0
5,-1.7,3,2025,2,-0.10126846802520745,-0.10126846802520745,0.0
5,-1.7,4,2023,2,0.07971504037550337,0.07971504037550337,1.0
5,-1.7,4,2024,2,-0.000912520786430282,-0.000912520786430282,0.5
5,-1.7,4,2025,2,-0.03434370049916757,-0.03434370049916757,0.5
5,-1.7,5,2023,2,0.0661769987421773,0.0661769987421773,1.0
5,-1.7,5,2024,2,-0.07139882874323206,-0.07139882874323206,0.5
5,-1.7,5,2025,2,-0.03436663256835615,-0.03436663256835615,0.0
5,-1.7,6,2023,2,0.033737990478798996,0.033737990478798996,1.0
5,-1.7,6,2024,2,-0.10483648789837768,-0.10483648789837768,0.5
5,-1.7,6,2025,2,0.005395552118759639,0.005395552118759639,1.0
5,-1.7,7,2023,2,-0.03141275594095899,-0.03141275594095899,0.0
5,-1.7,7,2024,2,-0.07967748142185732,-0.07967748142185732,0.5
5,-1.7,7,2025,2,-0.04135112685739595,-0.04135112685739595,0.5
5,-1.6,1,2021,4,-0.021174385843041987,-0.020285052073979404,0.5
5,-1.6,1,2022,1,0.04141612722172461,0.04141612722172461,1.0
5,-1.6,1,2023,5,0.012132541577091139,0.01511061136016778,0.6
5,-1.6,1,2024,4,-0.02667185499797517,-0.024127247420683562,0.0
5,-1.6,1,2025,5,0.006090187341662135,0.0030601394308840124,0.6
5,-1.6,2,2021,4,-0.012701022595509287,-0.03298337874044294,0.25
5,-1.6,2,2022,1,0.0346161390028179,0.0346161390028179,1.0
5,-1.6,2,2023,5,0.049221582901405346,0.0027253329397052273,0.6
5,-1.6,2,2024,4,-0.04409788060011918,-0.030330597100838852,0.25
5,-1.6,2,2025,5,-0.038270421828938986,-0.04376629111892805,0.0
5,-1.6,3,2021,4,0.03567220622324743,0.03320161533496335,0.75
5,-1.6,3,2022,1,0.12981371565141253,0.12981371565141253,1.0
5,-1.6,3,2023,5,0.06940201133018413,0.04269944501974332,0.6
5,-1.6,3,2024,4,0.006031420873916921,-0.00221921222582111,0.5
5,-1.6,3,2025,5,-0.029194590793971863,-0.003943351690334995,0.4
5,-1.6,4,2021,4,0.09503005051762503,0.09781422675381901,1.0
5,-1.6,4,2022,1,0.1392286417471662,0.1392286417471662,1.0
5,-1.6,4,2023,5,0.03230850906930014,0.07420768973305547,0.6
5,-1.6,4,2024,4,0.06103225665724529,0.08159547633650288,0.75
