z_window,z_threshold,hold_days,signal_date,entry_date,exit_date,signal_z_score,entry_price,exit_price,return,winner,year
5,-1.5,3,2021-08-10,2021-08-11,2021-08-13,-1.597148484343668,43.7608262254665,42.142016086578366,-0.03699222063467522,False,2021
5,-1.5,3,2021-08-17,2021-08-18,2021-08-20,-1.6303527429974147,39.12835955420487,39.18587636947632,0.0014699521249228464,True,2021
5,-1.5,3,2022-08-09,2022-08-10,2022-08-12,-1.6977630475495098,18.56155034397228,20.971088607788086,0.12981341639914712,True,2022
5,-1.5,3,2022-08-22,2022-08-23,2022-08-25,-1.5346900966995287,16.615895715491366,18.757476493835448,0.12888747107069531,True,2022
5,-1.5,3,2023-04-19,2023-04-20,2023-04-24,-1.6197637960192615,14.50855120822883,14.322920127868652,-0.012794598006098168,False,2023
5,-1.5,3,2023-04-25,2023-04-26,2023-04-28,-1.7032257618443751,13.360814472170603,13.931317646026612,0.04269973024805607,True,2023
5,-1.5,3,2023-05-24,2023-05-25,2023-05-30,-1.6201453318052021,17.81441975929096,22.389967838287355,0.25684519287304064,True,2023
5,-1.5,3,2023-06-21,2023-06-22,2023-06-26,-1.5367252864397833,21.88976119722896,21.659728425979615,-0.010508692588134028,False,2023
5,-1.5,3,2023-07-20,2023-07-21,2023-07-25,-1.5592558018264884,24.571943505890648,25.62103415107727,0.04269465477710899,True,2023
5,-1.5,3,2023-11-28,2023-11-29,2023-12-01,-1.6248555088954826,23.087323651783716,22.658158699035646,-0.01858877015027738,False,2023
5,-1.5,3,2023-12-20,2023-12-21,2023-12-26,-1.7501443873075508,29.343188701449197,31.65685668182373,0.07884855337007957,True,2023
5,-1.5,3,2024-01-02,2024-01-03,2024-01-05,-1.7513322558852733,26.226400861672825,25.52432347869873,-0.026769871576244775,False,2024
5,-1.5,3,2024-07-17,2024-07-18,2024-07-22,-1.7484324087255723,53.613488324659784,52.29121189498901,-0.024663129950874385,False,2024
5,-1.5,3,2024-08-22,2024-08-23,2024-08-27,-1.5300357781618539,38.76484443567189,38.02548930358887,-0.019072825980507635,False,2024
5,-1.5,3,2024-10-15,2024-10-16,2024-10-18,-1.5669318167777775,35.45196556078818,34.90608756637573,-0.015397679247895368,False,2024
5,-1.5,3,2024-10-23,2024-10-24,2024-10-28,-1.6612053945246938,34.29172253324224,34.985258651733396,0.020224592620532222,True,2024
